City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,puerto del rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
232,maneadero,MX,73.09,clear sky,31.7167,-116.5667,Casa De Thompson
239,xuddur,SO,76.19,overcast clouds,4.1213,43.8894,Banjanay Hotel
242,bajil,YE,76.8,overcast clouds,15.0584,43.2851,فندق حضرموت
248,dingle,PH,75.38,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
257,vao,NC,73.9,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
261,lingyuan,CN,74.37,overcast clouds,41.24,119.4011,Guomao Hotel
263,saint-pierre,RE,70.92,clear sky,-21.3393,55.4781,Alize Plage
269,kota kinabalu,MY,75.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
272,lisa,RO,78.62,clear sky,43.8,25.1333,scarlat cottages
280,petrykivka,UA,75.11,few clouds,48.7298,34.6351,Молодежное Общежитие при ПТУ #79
