City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
618,esmeralda,CU,21.8525,-78.1169,87.66,57,47,15.19,scattered clouds
619,kalmunai,LK,7.4167,81.8167,84.0,56,100,5.21,overcast clouds
620,saint-augustin,CA,51.226,-58.6502,74.16,34,63,13.18,broken clouds
621,cobija,BO,-11.0267,-68.7692,78.98,83,75,0.0,broken clouds
622,humaita,BR,-7.5061,-63.0208,94.8,42,12,1.36,few clouds
623,dalvik,IS,65.9702,-18.5286,57.13,79,100,2.37,overcast clouds
624,san juan de la maguana,DO,18.8059,-71.2299,82.99,58,100,4.72,overcast clouds
625,mucurapo,TT,10.6667,-61.5333,84.96,71,26,3.85,scattered clouds
626,taltal,CL,-25.4,-70.4833,59.63,62,0,4.21,clear sky
627,tambun,ID,-6.2641,107.0712,82.04,80,4,2.53,clear sky
628,hatillo,PR,18.4863,-66.8254,89.38,74,100,13.0,overcast clouds
629,college,US,64.8569,-147.8028,51.78,90,100,5.75,overcast clouds
630,astaneh-ye ashrafiyeh,IR,37.2596,49.9444,84.13,54,0,7.63,clear sky
631,yumen,CN,40.2833,97.2,80.74,19,98,9.64,overcast clouds
632,goure,NE,13.9835,10.2704,94.01,29,12,7.56,few clouds
633,kota bahru,MY,6.1333,102.2386,73.35,94,40,3.44,scattered clouds
634,nachingwea,TZ,-10.3833,38.7667,76.96,41,82,9.4,broken clouds
635,bonthe,SL,7.5264,-12.505,79.95,77,100,11.79,light rain
636,tres arroyos,AR,-38.3739,-60.2798,48.38,58,99,6.73,light rain
637,alugan,PH,12.2188,125.4808,78.21,84,100,5.5,overcast clouds
638,makakilo city,US,21.3469,-158.0858,74.19,85,92,3.71,overcast clouds
639,lasa,IT,46.6166,10.7002,76.69,76,55,2.53,broken clouds
640,balkanabat,TM,39.5108,54.3671,95.9,21,7,12.39,clear sky
641,caravelas,BR,-17.7125,-39.2481,78.24,63,84,5.64,broken clouds
642,yulara,AU,-25.2406,130.9889,50.79,39,0,9.1,clear sky
643,penzance,GB,50.1186,-5.5371,70.48,42,0,16.11,clear sky
644,sept-iles,CA,50.2001,-66.3821,68.52,72,75,5.75,broken clouds
645,andros town,BS,24.7,-77.7667,82.36,68,3,20.83,clear sky
646,bergen,NO,60.392,5.328,58.15,75,75,6.91,broken clouds
647,lircay,PE,-12.9896,-74.7205,51.51,62,99,4.27,overcast clouds
648,churapcha,RU,62.0025,132.4325,61.21,68,100,16.33,overcast clouds
649,kavaratti,IN,10.5669,72.642,80.01,86,35,22.26,scattered clouds
650,suntar,RU,62.1444,117.6319,49.39,85,100,3.27,overcast clouds
651,santa elena,EC,-2.2333,-80.85,71.15,83,100,6.91,overcast clouds
652,sladna,BA,44.7294,18.4242,90.36,18,1,6.82,clear sky
653,floresta,BR,-8.6011,-38.5686,83.25,44,8,14.81,clear sky
654,yeppoon,AU,-23.1333,150.7333,64.18,93,9,4.38,clear sky
655,srednekolymsk,RU,67.45,153.6833,53.46,87,100,0.63,light rain
656,platteville,US,42.7342,-90.4785,80.13,77,72,9.73,broken clouds
657,martos,ES,37.7211,-3.9726,100.49,21,0,11.01,clear sky
658,skegness,GB,53.1436,0.3363,75.02,49,67,9.8,broken clouds
659,requena,ES,39.4883,-1.1004,85.78,21,0,13.71,clear sky
660,masvingo,ZW,-20.0637,30.8277,76.46,21,0,7.78,clear sky
661,zaltan,LY,32.947,11.8665,92.14,32,0,11.59,clear sky
662,richards bay,ZA,-28.783,32.0377,69.39,79,27,4.92,scattered clouds
663,polovinnoye,RU,54.7914,65.9864,69.51,60,95,4.7,overcast clouds
664,humberto de campos,BR,-2.5983,-43.4611,89.26,48,28,8.46,scattered clouds
665,riachao do jacuipe,BR,-11.8069,-39.3856,86.77,37,32,7.94,scattered clouds
666,gusinoye ozero,RU,51.1144,106.2614,50.27,74,16,4.03,few clouds
667,shelburne,CA,44.0787,-80.2041,81.75,66,0,9.15,clear sky
668,yarim,YE,14.298,44.3779,58.68,82,97,4.79,moderate rain
669,minuri,PH,16.535,121.8574,74.79,94,100,3.47,overcast clouds
670,ornskoldsvik,SE,63.2909,18.7153,52.75,93,100,11.5,light intensity drizzle
671,maniwaki,CA,46.3834,-75.966,75.58,64,5,9.22,clear sky
672,hamilton,US,39.1834,-84.5333,79.07,97,100,6.91,thunderstorm
673,middletown,US,39.5151,-84.3983,79.34,93,75,15.99,broken clouds
